render_description,render_change,score_change,improvement_category,total_score,contrast,whitespace,edge_density,color_entropy,feature_density,duration,agent_id
mutation_1_Brain_Cool_white_base_color_in_dark_mode,10.891458511352539,-58.38352998969327,Regression,-64.65358814475309,33.46473709043174,0.0678,0.1613100704009795,2.0817373157232506,0.1002,11.51846432685852,10-999
mutation_2_Brain_Red_base_color_in_light_mode,-3.0099949836730957,30.158507072663923,Performance Win,-34.495081072089164,33.409202980356405,0.0677,0.16182022242628302,2.100002173917376,0.093,8.508469343185425,10-999
mutation_3_Brain_Higher_dynamic_range_for_activation_gradient,-0.15157866477966309,1.45259041147105,Performance Win,-33.042490660618114,33.39508427956645,0.0675,0.16151413121110092,2.0907747967312553,0.094,8.356890678405762,10-999
mutation_4_Brain_Pitch_black_background_in_dark_mode,0.24650883674621582,-2.4073832660195933,Regression,-35.44987392663771,33.37754702361076,0.0676,0.1613100704009795,2.103069542615338,0.094,8.603399515151978,10-999
mutation_5_Brain_Thicker_background_grid_lines,-0.3042490482330322,3.0580757374233087,Performance Win,-32.3917981892144,33.44520753675263,0.0677,0.16110600959085808,2.0984205423197477,0.0908,8.299150466918945,10-999
mutation_6_Brain_Larger_grid_size,0.2984318733215332,-3.027129999137074,Regression,-35.41892818835147,33.456494742587985,0.0674,0.1613100704009795,2.091729568551864,0.0944,8.597582340240479,10-999
mutation_7_Brain_More_dramatic_synapse_thickness,-0.11561393737792969,1.132450398860911,Performance Win,-34.28647778949056,33.43616978990027,0.0678,0.1612080399959188,2.085024268836959,0.1004,8.481968402862549,10-999
mutation_8_Brain_Red_synapses_in_light_mode,-0.3308067321777344,3.3084163002237545,Performance Win,-30.978061489266807,33.41727804798192,0.0676,0.16161616161616163,2.0889832387180762,0.0988,8.151161670684814,10-999
mutation_9_Brain_Cyan_action_potentials_in_dark_mode,0.1621091365814209,-1.634528204281409,Regression,-32.612589693548216,33.376106993355606,0.0675,0.16151413121110092,2.0914129764872675,0.0946,8.313270807266235,10-999
mutation_10_Brain_Larger_glow_for_action_potentials,0.04168868064880371,-0.34068439883008494,Neutral,-32.9532740923783,33.4211571629332,0.0676,0.1617181920212223,2.1011484410610985,0.094,8.354959487915039,10-999
mutation_11_Brain_Larger_action_potentials,0.0729672908782959,-0.8471264007870829,Regression,-33.800400493165384,33.39191807323147,0.0674,0.1614121008060402,2.082581651630445,0.093,8.427926778793335,10-999
mutation_12_Brain_Inverted_ambient_occlusion_colors,-0.11586284637451172,1.211651957379786,Performance Win,-32.5887485357856,33.343480132130864,0.0679,0.16151413121110092,2.093030144467441,0.0934,8.312063932418823,10-999
mutation_13_Brain_Remove_node_depth_shadows,0.7173902988433838,-7.1555480698897185,Regression,-39.744296605675316,33.43268648091547,0.0676,0.16059585756555453,2.0907804932978036,0.0918,9.029454231262207,10-999
mutation_14_Brain_Blue_membrane_ripples,-0.5674362182617188,5.59223885099091,Performance Win,-34.15205775468441,33.356420896294566,0.0673,0.16090194878073666,2.084982385434639,0.0978,8.462018013000488,10-999
mutation_15_Brain_Thicker_membrane_ripples,-0.14863204956054688,1.5518205751164942,Performance Win,-32.60023717956791,33.42533394180821,0.0674,0.1614121008060402,2.0901910967854795,0.0976,8.313385963439941,10-999
mutation_16_Synapse_Faster_vesicle_fusion,-0.0677022933959961,0.7052390121537968,Performance Win,-31.894998167414116,33.45262942812768,0.0676,0.1614121008060402,2.0911047637923006,0.0954,8.245683670043945,10-999
mutation_17_Synapse_Green_vesicles,0.2072737216949463,-2.0253047706342286,Regression,-33.920302938048344,33.40676110989089,0.0676,0.1613100704009795,2.105178084879026,0.094,8.452957391738892,10-999
mutation_18_Synapse_Red_bound_receptors,-0.13215279579162598,1.2148228860765258,Performance Win,-32.70548005197182,33.42922194869464,0.0674,0.16090194878073666,2.0835909866307034,0.0924,8.320804595947266,10-999
mutation_19_Synapse_Grey_unbound_receptors,0.09357118606567383,-0.9026738232287244,Regression,-33.60815387520054,33.39307394351852,0.0677,0.15988164473012959,2.090813394633918,0.0916,8.41437578201294,10-999
mutation_20_Synapse_Faster_particle_fade,-0.03673410415649414,0.3913507069308295,Neutral,-33.21680316826971,33.39334025565269,0.0678,0.1603917967554331,2.0945886964936786,0.0902,8.377641677856445,10-999
mutation_21_Synapse_Magenta_neurotransmitters,-0.0587465763092041,0.5873187591171458,Performance Win,-32.62948440915257,33.380371429220325,0.0676,0.1599836751351903,2.097856178341936,0.0926,8.318895101547241,10-999
mutation_22_Synapse_Faster_falling_particles,0.010385513305664062,-0.1849260722506898,Neutral,-32.81441048140326,33.342267510823724,0.0673,0.16069788797061524,2.0884523823427874,0.0944,8.329280614852905,10-999
mutation_23_Synapse_Larger_particles,-0.18377280235290527,1.865464301758422,Performance Win,-30.948946179644835,33.40000086541999,0.0676,0.16110600959085808,2.0852263025290334,0.1024,8.1455078125,10-999
mutation_24_Synapse_Wider_receptors,0.4433109760284424,-4.404625309803329,Regression,-35.353571489448164,33.40669659059891,0.0679,0.16192225283134373,2.087253620107361,0.0978,8.588818788528442,10-999
mutation_25_Synapse_Purple_dark_mode_background,-0.1909773349761963,1.986829446283437,Performance Win,-33.36674204316473,33.486974158420615,0.0676,0.1614121008060402,2.0976370826294857,0.0918,8.397841453552246,10-999
mutation_26_Env_Thicker_influence_paths,-0.12870550155639648,1.3025922946700845,Performance Win,-32.06414974849464,33.28790020940941,0.0668,0.16049382716049382,2.1286519333518292,0.0894,8.26913595199585,10-999
mutation_27_Env_Pink_medication_capsule,0.04219341278076172,-0.5610990903455075,Neutral,-32.62524883884015,33.43554396133483,0.0675,0.16069788797061524,2.0790545656517097,0.094,8.311329364776611,10-999
mutation_28_Env_Black_medication_outline,-0.12571024894714355,1.331687900420171,Performance Win,-31.29356093841998,33.45213764721231,0.0677,0.1617181920212223,2.0903122792537094,0.0938,8.185619115829468,10-999
mutation_29_Env_Blue_medication_text_in_light_mode,0.1908860206604004,-1.956068092672048,Regression,-33.24962903109203,33.41121194293424,0.0676,0.16090194878073666,2.085963272467907,0.0906,8.376505136489868,10-999
mutation_30_Env_Blue_therapy_icon,-0.04656815528869629,0.5459065078466523,Neutral,-32.703722523245375,33.439841322027824,0.0679,0.16079991837567595,2.096145325550487,0.0916,8.329936981201172,10-999
mutation_31_Env_Blue_therapy_outline,-0.13158679008483887,1.2216710443276924,Performance Win,-31.482051478917683,33.33352540147731,0.0676,0.16079991837567595,2.0909375463013995,0.091,8.198350191116333,10-999
mutation_32_Env_Yellow_semi-transparent_label_background,0.023957490921020508,0.051606125302569694,Neutral,-31.430445353615113,33.81400261362362,0.0563,0.16335067850219365,2.2141260319893226,0.0946,8.222307682037354,10-999
mutation_33_Env_Larger_default_label_font,0.08105731010437012,-1.089257241507184,Regression,-32.5197025951223,33.42831853092122,0.0678,0.1617181920212223,2.081957612166866,0.0984,8.303364992141724,10-999
mutation_34_Env_Serif_font_for_icon_labels,0.026529788970947266,-0.32649626309097357,Neutral,-32.84619885821327,33.377542200707055,0.0676,0.16090194878073666,2.076795570511983,0.0932,8.329894781112671,10-999
mutation_35_Env_Opaque_grey_legend_background,0.08245134353637695,-1.301227542743618,Regression,-34.14742640095689,33.30111483238233,0.0566,0.15620855014794408,2.099095485868485,0.0922,8.412346124649048,10-999
mutation_36_Env_Red_legend_title,-0.16700148582458496,2.48729990498758,Performance Win,-31.66012649596931,33.88075836389519,0.0677,0.16151413121110092,2.093588142065545,0.0918,8.245344638824463,10-999
mutation_37_Env_Larger_legend_swatches,0.13615012168884277,-1.6067961774056343,Regression,-33.26692267337494,33.48304892387415,0.0674,0.16079991837567595,2.0873000939642075,0.0974,8.381494760513306,10-999
mutation_38_Env_Green_tint_title_bar_gradient,-0.033830881118774414,-0.15250039133506021,Neutral,-33.41942306471,33.26542270903532,0.0445,0.1678400163248648,2.23990087494353,0.0924,8.347663879394531,10-999
mutation_39_Env_Taller_title_bar,-0.03811359405517578,1.8405298998504236,Neutral,-31.57889316485958,33.55736721688521,0.0877,0.15161718192021223,2.0705852160182743,0.0908,8.309550285339355,10-999
mutation_40_Env_Monospace_title_font,0.14012694358825684,-2.39040597985025,Regression,-33.96929914470983,33.3881544355263,0.0661,0.16182022242628302,2.1056791853606285,0.0942,8.449677228927612,10-999
mutation_41_Env_Lighter_subtitle_color,-0.0623323917388916,0.5664219788343203,Performance Win,-33.40287716587551,33.39119284229741,0.0673,0.16100397918579737,2.0819949569725997,0.1008,8.38734483718872,10-999
mutation_42_Env_Red_'Family'_legend_color,-0.07129263877868652,0.7983947138891239,Performance Win,-32.604482451986385,33.472755789387314,0.0677,0.16182022242628302,2.086932327484059,0.1004,8.316052198410034,10-999
mutation_43_Env_Blue_'Society'_legend_color,-0.2322402000427246,2.3084839031190825,Performance Win,-30.295998548867303,33.45700646831418,0.0675,0.16100397918579737,2.0877236401297408,0.0926,8.08381199836731,10-999
mutation_44_Env_Thicker_title_bar_separator,0.20454859733581543,-1.832684118617081,Regression,-32.128682667484384,33.458523248947515,0.0675,0.17181920212223242,2.1301323330146227,0.0954,8.288360595703125,10-999
mutation_45_Env_Sharper_medication_capsule,-0.14080286026000977,1.189863264014292,Performance Win,-30.93881940347009,33.3220744798605,0.0676,0.16151413121110092,2.099144142206162,0.0928,8.147557735443115,10-999
mutation_46_Env_Larger_head_for_therapy_icon_person,0.34022974967956543,-3.4014650287787376,Regression,-34.34028443224883,33.40986222000894,0.0677,0.1614121008060402,2.0895318617947014,0.094,8.48778748512268,10-999
mutation_1_Brain_Cool_white_base_color_in_dark_mode,-7.801450490951538,27.476914490537403,Performance Win,-6.863369941711426,0.0,0.0,0.0,0.0,0.0,0.6863369941711426,10-999
mutation_2_Brain_Red_base_color_in_light_mode,-0.07286810874938965,0.7286810874938965,Performance Win,-6.134688854217529,0.0,0.0,0.0,0.0,0.0,0.6134688854217529,10-999
mutation_3_Brain_Higher_dynamic_range_for_activation_gradient,-0.028394699096679688,0.2839469909667969,Neutral,-5.850741863250732,0.0,0.0,0.0,0.0,0.0,0.5850741863250732,10-999
mutation_4_Brain_Pitch_black_background_in_dark_mode,0.007707357406616211,-0.07707357406616211,Neutral,-5.9278154373168945,0.0,0.0,0.0,0.0,0.0,0.5927815437316895,10-999
mutation_5_Brain_Thicker_background_grid_lines,0.037369489669799805,-0.37369489669799805,Neutral,-6.301510334014893,0.0,0.0,0.0,0.0,0.0,0.6301510334014893,10-999
mutation_6_Brain_Larger_grid_size,-0.02492356300354004,0.2492356300354004,Neutral,-6.052274703979492,0.0,0.0,0.0,0.0,0.0,0.6052274703979492,10-999
mutation_7_Brain_More_dramatic_synapse_thickness,0.013415098190307617,-0.13415098190307617,Neutral,-6.186425685882568,0.0,0.0,0.0,0.0,0.0,0.6186425685882568,10-999
